query,expanded_query,title,abstract,model_score,cosine_similarity,source_query,avg_original_score,avg_expanded_score,overlap_count
What are the latest techniques for explainability in deep neural networks?,"What are the latest techniques for explainability in deep neural networks? - Interpretability
- Model transparency
- Feature importance
- Explainable AI
- XAI techniques
- White-box models
- Black-box models
- Post-hoc explainability
- Local interpretability
- Global interpretability","Robust Explainability: A Tutorial on Gradient-Based Attribution Methods
  for Deep Neural Networks","  With the rise of deep neural networks, the challenge of explaining the
predictions of these networks has become increasingly recognized. While many
methods for explaining the decisions of deep neural networks exist, there is
currently no consensus on how to evaluate them. On the other hand, robustness
is a popular topic for deep learning research; however, it is hardly talked
about in explainability until very recently. In this tutorial paper, we start
by presenting gradient-based interpretability methods. These techniques use
gradient signals to assign the burden of the decision on the input features.
Later, we discuss how gradient-based methods can be evaluated for their
robustness and the role that adversarial robustness plays in having meaningful
explanations. We also discuss the limitations of gradient-based methods.
Finally, we present the best practices and attributes that should be examined
before choosing an explainability method. We conclude with the future
directions for research in the area at the convergence of robustness and
explainability.
",8.666666666666666,0.7853645,overlap,6.8,7.333333333333334,4
What are the latest techniques for explainability in deep neural networks?,"What are the latest techniques for explainability in deep neural networks? - Interpretability
- Model transparency
- Feature importance
- Explainable AI
- XAI techniques
- White-box models
- Black-box models
- Post-hoc explainability
- Local interpretability
- Global interpretability","Explaining Deep Neural Networks and Beyond: A Review of Methods and
  Applications","  With the broader and highly successful usage of machine learning in industry
and the sciences, there has been a growing demand for Explainable AI.
Interpretability and explanation methods for gaining a better understanding
about the problem solving abilities and strategies of nonlinear Machine
Learning, in particular, deep neural networks, are therefore receiving
increased attention. In this work we aim to (1) provide a timely overview of
this active emerging field, with a focus on 'post-hoc' explanations, and
explain its theoretical foundations, (2) put interpretability algorithms to a
test both from a theory and comparative evaluation perspective using extensive
simulations, (3) outline best practice aspects i.e. how to best include
interpretation methods into the standard usage of machine learning and (4)
demonstrate successful usage of explainable AI in a representative selection of
application scenarios. Finally, we discuss challenges and possible future
directions of this exciting foundational field of machine learning.
",9.333333333333334,0.72521746,overlap,6.8,7.333333333333334,4
What are the latest techniques for explainability in deep neural networks?,"What are the latest techniques for explainability in deep neural networks? - Interpretability
- Model transparency
- Feature importance
- Explainable AI
- XAI techniques
- White-box models
- Black-box models
- Post-hoc explainability
- Local interpretability
- Global interpretability",Explaining Deep Neural Networks,"  Deep neural networks are becoming more and more popular due to their
revolutionary success in diverse areas, such as computer vision, natural
language processing, and speech recognition. However, the decision-making
processes of these models are generally not interpretable to users. In various
domains, such as healthcare, finance, or law, it is critical to know the
reasons behind a decision made by an artificial intelligence system. Therefore,
several directions for explaining neural models have recently been explored. In
this thesis, I investigate two major directions for explaining deep neural
networks. The first direction consists of feature-based post-hoc explanatory
methods, that is, methods that aim to explain an already trained and fixed
model (post-hoc), and that provide explanations in terms of input features,
such as tokens for text and superpixels for images (feature-based). The second
direction consists of self-explanatory neural models that generate natural
language explanations, that is, models that have a built-in module that
generates explanations for the predictions of the model.
",7.333333333333333,0.7394074,original,6.8,7.333333333333334,4
What are the latest techniques for explainability in deep neural networks?,"What are the latest techniques for explainability in deep neural networks? - Interpretability
- Model transparency
- Feature importance
- Explainable AI
- XAI techniques
- White-box models
- Black-box models
- Post-hoc explainability
- Local interpretability
- Global interpretability",Towards a Unified Evaluation of Explanation Methods without Ground Truth,"  This paper proposes a set of criteria to evaluate the objectiveness of
explanation methods of neural networks, which is crucial for the development of
explainable AI, but it also presents significant challenges. The core challenge
is that people usually cannot obtain ground-truth explanations of the neural
network. To this end, we design four metrics to evaluate explanation results
without ground-truth explanations. Our metrics can be broadly applied to nine
benchmark methods of interpreting neural networks, which provides new insights
of explanation methods.
",6.333333333333333,0.7702805,original,6.8,7.333333333333334,4
What are the latest techniques for explainability in deep neural networks?,"What are the latest techniques for explainability in deep neural networks? - Interpretability
- Model transparency
- Feature importance
- Explainable AI
- XAI techniques
- White-box models
- Black-box models
- Post-hoc explainability
- Local interpretability
- Global interpretability","How Good is your Explanation? Algorithmic Stability Measures to Assess
  the Quality of Explanations for Deep Neural Networks","  A plethora of methods have been proposed to explain how deep neural networks
reach their decisions but comparatively, little effort has been made to ensure
that the explanations produced by these methods are objectively relevant. While
several desirable properties for trustworthy explanations have been formulated,
objective measures have been harder to derive. Here, we propose two new
measures to evaluate explanations borrowed from the field of algorithmic
stability: mean generalizability MeGe and relative consistency ReCo. We conduct
extensive experiments on different network architectures, common explainability
methods, and several image datasets to demonstrate the benefits of the proposed
measures.In comparison to ours, popular fidelity measures are not sufficient to
guarantee trustworthy explanations.Finally, we found that 1-Lipschitz networks
produce explanations with higher MeGe and ReCo than common neural networks
while reaching similar accuracy. This suggests that 1-Lipschitz networks are a
relevant direction towards predictors that are more explainable and
trustworthy.
",7.0,0.7131523,original,6.8,7.333333333333334,4
What are the latest techniques for explainability in deep neural networks?,"What are the latest techniques for explainability in deep neural networks? - Interpretability
- Model transparency
- Feature importance
- Explainable AI
- XAI techniques
- White-box models
- Black-box models
- Post-hoc explainability
- Local interpretability
- Global interpretability",Gradient based Feature Attribution in Explainable AI: A Technical Review,"  The surge in black-box AI models has prompted the need to explain the
internal mechanism and justify their reliability, especially in high-stakes
applications, such as healthcare and autonomous driving. Due to the lack of a
rigorous definition of explainable AI (XAI), a plethora of research related to
explainability, interpretability, and transparency has been developed to
explain and analyze the model from various perspectives. Consequently, with an
exhaustive list of papers, it becomes challenging to have a comprehensive
overview of XAI research from all aspects. Considering the popularity of neural
networks in AI research, we narrow our focus to a specific area of XAI
research: gradient based explanations, which can be directly adopted for neural
network models. In this review, we systematically explore gradient based
explanation methods to date and introduce a novel taxonomy to categorize them
into four distinct classes. Then, we present the essence of technique details
in chronological order and underscore the evolution of algorithms. Next, we
introduce both human and quantitative evaluations to measure algorithm
performance. More importantly, we demonstrate the general challenges in XAI and
specific challenges in gradient based explanations. We hope that this survey
can help researchers understand state-of-the-art progress and their
corresponding disadvantages, which could spark their interest in addressing
these issues in future work.
",9.0,0.7168599,expanded,6.8,7.333333333333334,4
What are the latest techniques for explainability in deep neural networks?,"What are the latest techniques for explainability in deep neural networks? - Interpretability
- Model transparency
- Feature importance
- Explainable AI
- XAI techniques
- White-box models
- Black-box models
- Post-hoc explainability
- Local interpretability
- Global interpretability","Do Explanations Reflect Decisions? A Machine-centric Strategy to
  Quantify the Performance of Explainability Algorithms","  There has been a significant surge of interest recently around the concept of
explainable artificial intelligence (XAI), where the goal is to produce an
interpretation for a decision made by a machine learning algorithm. Of
particular interest is the interpretation of how deep neural networks make
decisions, given the complexity and `black box' nature of such networks. Given
the infancy of the field, there has been very limited exploration into the
assessment of the performance of explainability methods, with most evaluations
centered around subjective visual interpretation of the produced
interpretations. In this study, we explore a more machine-centric strategy for
quantifying the performance of explainability methods on deep neural networks
via the notion of decision-making impact analysis. We introduce two
quantitative performance metrics: i) Impact Score, which assesses the
percentage of critical factors with either strong confidence reduction impact
or decision changing impact, and ii) Impact Coverage, which assesses the
percentage coverage of adversarially impacted factors in the input. A
comprehensive analysis using this approach was conducted on several
state-of-the-art explainability methods (LIME, SHAP, Expected Gradients,
GSInquire) on a ResNet-50 deep convolutional neural network using a subset of
ImageNet for the task of image classification. Experimental results show that
the critical regions identified by LIME within the tested images had the lowest
impact on the decision-making process of the network (~38%), with progressive
increase in decision-making impact for SHAP (~44%), Expected Gradients (~51%),
and GSInquire (~76%). While by no means perfect, the hope is that the proposed
machine-centric strategy helps push the conversation forward towards better
metrics for evaluating explainability methods and improve trust in deep neural
networks.
",6.333333333333333,0.70346236,expanded,6.8,7.333333333333334,4
What are the latest techniques for explainability in deep neural networks?,"What are the latest techniques for explainability in deep neural networks? - Interpretability
- Model transparency
- Feature importance
- Explainable AI
- XAI techniques
- White-box models
- Black-box models
- Post-hoc explainability
- Local interpretability
- Global interpretability","Explainable Artificial Intelligence (XAI): Concepts, Taxonomies,
  Opportunities and Challenges toward Responsible AI","  In the last years, Artificial Intelligence (AI) has achieved a notable
momentum that may deliver the best of expectations over many application
sectors across the field. For this to occur, the entire community stands in
front of the barrier of explainability, an inherent problem of AI techniques
brought by sub-symbolism (e.g. ensembles or Deep Neural Networks) that were not
present in the last hype of AI. Paradigms underlying this problem fall within
the so-called eXplainable AI (XAI) field, which is acknowledged as a crucial
feature for the practical deployment of AI models. This overview examines the
existing literature in the field of XAI, including a prospect toward what is
yet to be reached. We summarize previous efforts to define explainability in
Machine Learning, establishing a novel definition that covers prior conceptual
propositions with a major focus on the audience for which explainability is
sought. We then propose and discuss about a taxonomy of recent contributions
related to the explainability of different Machine Learning models, including
those aimed at Deep Learning methods for which a second taxonomy is built. This
literature analysis serves as the background for a series of challenges faced
by XAI, such as the crossroads between data fusion and explainability. Our
prospects lead toward the concept of Responsible Artificial Intelligence,
namely, a methodology for the large-scale implementation of AI methods in real
organizations with fairness, model explainability and accountability at its
core. Our ultimate goal is to provide newcomers to XAI with a reference
material in order to stimulate future research advances, but also to encourage
experts and professionals from other disciplines to embrace the benefits of AI
in their activity sectors, without any prior bias for its lack of
interpretability.
",6.666666666666667,0.67385924,expanded,6.8,7.333333333333334,4
How is transfer learning being applied in medical imaging analysis?,"How is transfer learning being applied in medical imaging analysis? - Deep learning
- Convolutional neural networks
- Radiology
- Disease diagnosis
- Feature extraction
- Image classification
- Image segmentation","What Makes Transfer Learning Work For Medical Images: Feature Reuse &
  Other Factors","  Transfer learning is a standard technique to transfer knowledge from one
domain to another. For applications in medical imaging, transfer from ImageNet
has become the de-facto approach, despite differences in the tasks and image
characteristics between the domains. However, it is unclear what factors
determine whether - and to what extent - transfer learning to the medical
domain is useful. The long-standing assumption that features from the source
domain get reused has recently been called into question. Through a series of
experiments on several medical image benchmark datasets, we explore the
relationship between transfer learning, data size, the capacity and inductive
bias of the model, as well as the distance between the source and target
domain. Our findings suggest that transfer learning is beneficial in most
cases, and we characterize the important role feature reuse plays in its
success.
",9.333333333333334,0.7203219,overlap,6.8,7.333333333333334,4
How is transfer learning being applied in medical imaging analysis?,"How is transfer learning being applied in medical imaging analysis? - Deep learning
- Convolutional neural networks
- Radiology
- Disease diagnosis
- Feature extraction
- Image classification
- Image segmentation",Supervised Transfer Learning at Scale for Medical Imaging,"  Transfer learning is a standard technique to improve performance on tasks
with limited data. However, for medical imaging, the value of transfer learning
is less clear. This is likely due to the large domain mismatch between the
usual natural-image pre-training (e.g. ImageNet) and medical images. However,
recent advances in transfer learning have shown substantial improvements from
scale. We investigate whether modern methods can change the fortune of transfer
learning for medical imaging. For this, we study the class of large-scale
pre-trained networks presented by Kolesnikov et al. on three diverse imaging
tasks: chest radiography, mammography, and dermatology. We study both transfer
performance and critical properties for the deployment in the medical domain,
including: out-of-distribution generalization, data-efficiency, sub-group
fairness, and uncertainty estimation. Interestingly, we find that for some of
these properties transfer from natural to medical images is indeed extremely
effective, but only when performed at sufficient scale.
",9.0,0.68376684,original,6.8,7.333333333333334,4
How is transfer learning being applied in medical imaging analysis?,"How is transfer learning being applied in medical imaging analysis? - Deep learning
- Convolutional neural networks
- Radiology
- Disease diagnosis
- Feature extraction
- Image classification
- Image segmentation",Modality-bridge Transfer Learning for Medical Image Classification,"  This paper presents a new approach of transfer learning-based medical image
classification to mitigate insufficient labeled data problem in medical domain.
Instead of direct transfer learning from source to small number of labeled
target data, we propose a modality-bridge transfer learning which employs the
bridge database in the same medical imaging acquisition modality as target
database. By learning the projection function from source to bridge and from
bridge to target, the domain difference between source (e.g., natural images)
and target (e.g., X-ray images) can be mitigated. Experimental results show
that the proposed method can achieve a high classification performance even for
a small number of labeled target medical images, compared to various transfer
learning approaches.
",9.0,0.69405055,original,6.8,7.333333333333334,4
